Date,Open,High,Low,Close,Volume
2015-01-02 16:00:00,26.63,26.79,26.39,26.48,1327870.0
2015-01-05 16:00:00,26.36,26.4,25.89,25.97,2059119.0
2015-01-06 16:00:00,26.02,26.06,25.28,25.33,2731813.0
2015-01-07 16:00:00,25.55,25.57,25.18,25.26,2345875.0
2015-01-08 16:00:00,25.08,25.38,24.75,25.35,3662224.0
2015-01-09 16:00:00,25.42,25.43,24.93,25.04,2100024.0
2015-01-12 16:00:00,24.96,25.01,24.55,24.85,2856938.0
2015-01-13 16:00:00,25.12,25.43,24.86,25.09,3050295.0
2015-01-14 16:00:00,25.02,25.41,24.91,25.3,2639959.0
2015-01-15 16:00:00,25.45,25.49,25.1,25.2,2556682.0
2015-01-16 16:00:00,25.17,25.54,25.15,25.52,2482858.0
2015-01-20 16:00:00,25.64,25.78,25.47,25.5,2343612.0
2015-01-21 16:00:00,25.54,26.09,25.48,26.02,2317789.0
2015-01-22 16:00:00,26.17,26.94,26.1,26.87,2803401.0
2015-01-23 16:00:00,26.9,27.27,26.79,27.1,2298290.0
2015-01-26 16:00:00,27.06,27.08,26.6,26.84,1546563.0
2015-01-27 16:00:00,26.57,26.64,26.04,26.06,1957440.0
2015-01-28 16:00:00,26.28,26.28,25.62,25.62,1791077.0
2015-01-29 16:00:00,25.66,25.76,25.17,25.66,3950857.0
2015-01-30 16:00:00,25.95,27.16,25.91,26.88,6055445.0
2015-02-02 16:00:00,26.71,26.83,26.09,26.61,3768861.0
2015-02-03 16:00:00,26.5,26.87,26.34,26.67,2353096.0
2015-02-04 16:00:00,26.67,26.84,26.25,26.31,1694832.0
2015-02-05 16:00:00,26.4,26.53,26.28,26.49,1658751.0
2015-02-06 16:00:00,26.55,27.01,26.43,26.69,2146922.0
2015-02-09 16:00:00,26.55,26.69,26.38,26.46,1515687.0
2015-02-10 16:00:00,26.59,27.05,26.46,27.01,2371468.0
2015-02-11 16:00:00,26.98,27.1,26.8,26.9,1915336.0
2015-02-12 16:00:00,26.98,27.42,26.85,27.3,2429520.0
2015-02-13 16:00:00,27.36,27.63,27.33,27.56,2369115.0
2015-02-17 16:00:00,27.47,27.65,27.16,27.25,1958679.0
2015-02-18 16:00:00,27.19,27.38,26.98,27.13,1558153.0
2015-02-19 16:00:00,27.12,27.34,27.04,27.32,1541669.0
2015-02-20 16:00:00,27.35,27.38,26.91,27.09,1911732.0
2015-02-23 16:00:00,26.95,26.97,26.6,26.75,1645276.0
2015-02-24 16:00:00,26.58,26.97,26.55,26.93,1421373.0
